IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Sdc,Dynamic Execution,Masked%,Crash%,Sdc%,Masked%+Sdc%
42bde6,xmm5,366945432,472,sdc,<HPL_ladd>,add,"add, %edi,%r8d",0,0,1,75.540452,27.36318407960199,10.447761194029852,62.18905472636816,89.55223880597015
42bee7,rbx,367129466,58,masked,<HPL_lmul>,movzwl,"movzwl, -0x14(%rsp),%edi",1,0,0,75.578478,27.36318407960199,10.447761194029852,62.18905472636816,89.55223880597015
42bdff,rbx,369882665,465,sdc,<HPL_ladd>,add,"add, %r9d,%r11d",0,0,1,76.147356,27.860696517412936,9.950248756218905,62.18905472636816,90.04975124378109
42befc,r8,370109552,54,sdc,<HPL_lmul>,add,"add, $0x4,%rax",0,0,1,76.194237,28.35820895522388,9.45273631840796,62.18905472636816,90.54726368159204
42bdfc,r9,370788217,471,masked,<HPL_ladd>,shr,"shr, $0x10,%eax",1,0,0,76.334466,28.855721393034827,8.955223880597014,62.18905472636816,91.04477611940298
42bed8,rdi,371325201,240,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,76.44542,29.35323383084577,8.955223880597014,61.691542288557216,91.04477611940298
42bebc,rdi,373516682,86,masked,<HPL_lmul>,add,"add, %ebx,%esi",1,0,0,76.898233,29.850746268656717,8.955223880597014,61.19402985074627,91.04477611940298
42be71,r9,374139459,216,sdc,<HPL_lmul>,imul,"imul, %eax,%r8d",0,0,1,77.026914,30.34825870646766,8.457711442786069,61.19402985074627,91.54228855721394
42be91,rax,375154566,172,sdc,<HPL_lmul>,movzwl,"movzwl, %bx,%esi",0,0,1,77.23666,30.845771144278608,7.960199004975125,61.19402985074627,92.03980099502488
42be06,rsi,375340266,386,masked,<HPL_ladd>,mov,"mov, %r11d,%ecx",1,0,0,77.27503,30.5,8.0,61.5,92.0
